code,state,num_electoral_votes
AL,ALABAMA,9
AK,ALASKA,3
AZ,ARIZONA,11
AR,ARKANSAS,6
CA,CALIFORNIA,55
CO,COLORADO,9
CT,CONNECTICUT,7
DE,DELAWARE,3
DC,D.C.,3
FL,FLORIDA,29
GA,GEORGIA,16
HI,HAWAII,4
ID,IDAHO,4
IL,ILLINOIS,20
IN,INDIANA,11
IA,IOWA,6
KS,KANSAS,6
KY,KENTUCKY,8
LA,LOUISIANA,8
ME,MAINE,4
MD,MARYLAND,10
MA,MASSACHUSETTS,11
MI,MICHIGAN,16
MN,MINNESOTA,10
MS,MISSISSIPPI,6
MO,MISSOURI,10
MT,MONTANA,3
NE,NEBRASKA,5
NV,NEVADA,6
NH,NEW HAMPSHIRE,4
NJ,NEW JERSEY,14
NM,NEW MEXICO,5
NY,NEW YORK,29
NC,NORTH CAROLINA,15
ND,NORTH DAKOTA,3
OH,OHIO,18
OK,OKLAHOMA,7
OR,OREGON,7
PA,PENNSYLVANIA,20
RI,RHODE ISLAND,4
SC,SOUTH CAROLINA,9
SD,SOUTH DAKOTA,3
TN,TENNESSEE,11
TX,TEXAS,38
UT,UTAH,6
VT,VERMONT,3
VA,VIRGINIA,13
WA,WASHINGTON,12
WV,WEST VIRGINIA,5
WI,WISCONSIN,10
WY,WYOMING,3